algorithm,run_id,seed,generation,evaluations,population_size,feasible_count,feasible_fraction,mean_total_constraint_violation,max_total_constraint_violation,non_dominated_count,hv_against_zero_reference,max_social_reliability,max_economic_efficiency,max_ecological_security,data_status
IA-NSGA-III,1,1809036,28,1344,48,48,1.0,0.0,0.0,23,0.4531878861472735,0.7356991155047704,0.7949830056742639,0.7809799836983481,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,1,1809036,29,1392,48,48,1.0,0.0,0.0,23,0.45362350360230164,0.7356991155047704,0.7949830056742639,0.7809799836983481,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,1,1809036,30,1440,48,48,1.0,0.0,0.0,25,0.45672560532702644,0.7361421264196962,0.7949830056742639,0.7854601605233319,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,1,48,48,46,0.9583333333333334,9.25185853854297e-18,2.220446049250313e-16,7,0.22066807035534303,0.5547090861925765,0.5659047841091505,0.7067310704423084,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,2,96,48,48,1.0,0.0,0.0,8,0.2270478418148971,0.56168297716398,0.5693158923055902,0.7139674338818641,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,3,144,48,48,1.0,0.0,0.0,10,0.24672021122070406,0.5743912228699865,0.6009025759140363,0.7238159464844344,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,4,192,48,48,1.0,0.0,0.0,7,0.2613316463174353,0.5880587883048248,0.6206460290798516,0.7238159464844344,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,5,240,48,48,1.0,0.0,0.0,9,0.2699688731784233,0.6069218945463283,0.6206460290798516,0.7238159464844344,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,6,288,48,48,1.0,0.0,0.0,11,0.2798757632356768,0.6102308477378018,0.6400914652869248,0.7238159464844344,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,7,336,48,48,1.0,0.0,0.0,17,0.2843129535402986,0.6130047967007773,0.6474344242185051,0.7238159464844344,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,8,384,48,48,1.0,0.0,0.0,11,0.2968941122147947,0.6176875144927669,0.6631817406344679,0.7351818053951409,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,9,432,48,48,1.0,0.0,0.0,13,0.3060211065898388,0.6263096433632953,0.6702490761229466,0.7351818053951409,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,10,480,48,48,1.0,0.0,0.0,15,0.3075764557395695,0.6282882560781509,0.6702490761229466,0.7351818053951409,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,11,528,48,48,1.0,0.0,0.0,19,0.31799943235369404,0.6355853204874524,0.677270360196504,0.7459577453994923,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,12,576,48,48,1.0,0.0,0.0,20,0.3210588298753727,0.6393257994973063,0.677270360196504,0.7474743581598058,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,13,624,48,48,1.0,0.0,0.0,20,0.32828586347994504,0.6512087038451724,0.677270360196504,0.7495575089053194,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,14,672,48,48,1.0,0.0,0.0,14,0.3401581774312082,0.6586356377332881,0.693480131134111,0.7495575089053194,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,15,720,48,48,1.0,0.0,0.0,22,0.3557296573963961,0.6701736870255179,0.7131336330974108,0.7509946348038556,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,16,768,48,48,1.0,0.0,0.0,23,0.3581436756470186,0.6701736870255179,0.7131336330974108,0.755513973696308,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,17,816,48,48,1.0,0.0,0.0,10,0.3618777538295874,0.6755916074628763,0.7131336330974108,0.7556070367752927,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,18,864,48,48,1.0,0.0,0.0,12,0.366660266154063,0.6767939753316443,0.7207501021789482,0.7556070367752927,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,19,912,48,48,1.0,0.0,0.0,21,0.3714613646836727,0.6860087615376764,0.7207501021789482,0.7556070367752927,经过处理的数据 / public-data surrogate; not author-run logs
