index,set,description,categories,count
r,R,Sub-region,"31 provincial-level units in mainland China",31
s,S,Fishery sector,"marine capture; freshwater capture; marine aquaculture; freshwater aquaculture",4
m,M,Utilization mode,"fresh sales; deep processing",2

