reference_point_id,cost_social_reliability,cost_economic_efficiency,cost_ecological_security,data_status
1,0.2993541738329918,0.22577602531936014,0.2333976226082385,newly executed 30-run surrogate verification; not original author-run logs
2,0.2740231770428232,0.20673876326154106,0.24692974851058325,newly executed 30-run surrogate verification; not original author-run logs
3,0.2788385981531717,0.21268716449037028,0.23808774747627193,newly executed 30-run surrogate verification; not original author-run logs
4,0.2920345024207692,0.22721744115387044,0.23156019712184506,newly executed 30-run surrogate verification; not original author-run logs
5,0.2589356915451213,0.20774790868204973,0.26426234686370875,newly executed 30-run surrogate verification; not original author-run logs
6,0.2794571967787812,0.2084649396186251,0.2427335550470009,newly executed 30-run surrogate verification; not original author-run logs
7,0.25878089135773574,0.2116135084014512,0.2585997826692835,newly executed 30-run surrogate verification; not original author-run logs
8,0.26814821283738455,0.20983419127481517,0.2569627299181152,newly executed 30-run surrogate verification; not original author-run logs
9,0.2629070545307707,0.21350448095149932,0.2541418090423324,newly executed 30-run surrogate verification; not original author-run logs
10,0.27110689049383596,0.20729909805797453,0.24410797621568925,newly executed 30-run surrogate verification; not original author-run logs
11,0.2642203036807337,0.20330972302981298,0.2588336153550642,newly executed 30-run surrogate verification; not original author-run logs
12,0.2855125492282782,0.2200269859494235,0.23348147670433284,newly executed 30-run surrogate verification; not original author-run logs
13,0.2787610872508367,0.22204103620365978,0.24098117811932795,newly executed 30-run surrogate verification; not original author-run logs
14,0.2807997934899683,0.20662852209503624,0.2414800350648333,newly executed 30-run surrogate verification; not original author-run logs
15,0.3063264443028948,0.2322865990552898,0.2264291496505707,newly executed 30-run surrogate verification; not original author-run logs
16,0.27367595375055553,0.1987467630910883,0.2858074898106613,newly executed 30-run surrogate verification; not original author-run logs
17,0.2686646923618382,0.19485046029829,0.2967192602431221,newly executed 30-run surrogate verification; not original author-run logs
18,0.28609192431098585,0.2333933699577112,0.22299941392134104,newly executed 30-run surrogate verification; not original author-run logs
19,0.26276541338429416,0.19701547810687103,0.3012561292708509,newly executed 30-run surrogate verification; not original author-run logs
20,0.2910853928324634,0.2627184364892461,0.22178931866805907,newly executed 30-run surrogate verification; not original author-run logs
21,0.2800218593294409,0.2655849774236593,0.22592787484817,newly executed 30-run surrogate verification; not original author-run logs
22,0.2955083795428801,0.2840385136199609,0.21312560680268122,newly executed 30-run surrogate verification; not original author-run logs
23,0.3031643956866924,0.2603095552435596,0.20797586359847275,newly executed 30-run surrogate verification; not original author-run logs
24,0.29320469121264037,0.23256513319721916,0.2237823741675381,newly executed 30-run surrogate verification; not original author-run logs
25,0.27695711241818033,0.2009235928625145,0.2825683845462498,newly executed 30-run surrogate verification; not original author-run logs
26,0.3103829346557022,0.2310189599507988,0.2237512420588419,newly executed 30-run surrogate verification; not original author-run logs
27,0.29583853939453486,0.2377369154655834,0.21542291419929394,newly executed 30-run surrogate verification; not original author-run logs
28,0.3155828794548542,0.2513144980111447,0.21339332043306336,newly executed 30-run surrogate verification; not original author-run logs
29,0.2915417439401461,0.23879281784728168,0.21382725955544368,newly executed 30-run surrogate verification; not original author-run logs
30,0.2830751406741079,0.2324904745310813,0.22860367143370885,newly executed 30-run surrogate verification; not original author-run logs
31,0.2791014714882497,0.24626741683014186,0.22606725049111565,newly executed 30-run surrogate verification; not original author-run logs
32,0.274128631460436,0.23064881619012567,0.23019820935707325,newly executed 30-run surrogate verification; not original author-run logs
33,0.31271463127625865,0.2544593854885059,0.20917073602473346,newly executed 30-run surrogate verification; not original author-run logs
34,0.2617041453935889,0.2407395452150577,0.24223204883170169,newly executed 30-run surrogate verification; not original author-run logs
35,0.2585807535792889,0.21556822480257876,0.24285173104510438,newly executed 30-run surrogate verification; not original author-run logs
36,0.2668951579042115,0.22278559159569744,0.23680711437814062,newly executed 30-run surrogate verification; not original author-run logs
37,0.2702787507344159,0.23721707725819918,0.23515229680217953,newly executed 30-run surrogate verification; not original author-run logs
38,0.302480049339827,0.253870151974535,0.21341050642263215,newly executed 30-run surrogate verification; not original author-run logs
39,0.31853716182593295,0.2685362164945376,0.2075798975859111,newly executed 30-run surrogate verification; not original author-run logs
40,0.3206199898141052,0.26257808418585227,0.20100142214716654,newly executed 30-run surrogate verification; not original author-run logs
41,0.3286835834120865,0.28286878193375464,0.20037447650638374,newly executed 30-run surrogate verification; not original author-run logs
42,0.30741927645487344,0.2598346732730573,0.21215985600943865,newly executed 30-run surrogate verification; not original author-run logs
43,0.31847665866120467,0.273579166416817,0.20485162703509663,newly executed 30-run surrogate verification; not original author-run logs
44,0.2600161170900631,0.20578320132232641,0.26438557851614775,newly executed 30-run surrogate verification; not original author-run logs
