algorithm,run_id,seed,stored_hv,recomputed_hv,hv_abs_difference,stored_igd,recomputed_igd,igd_abs_difference,metric_population,data_status
IA-NSGA-III,1,1809036,0.551835749310715,0.551835749310715,0.0,0.0180590974575658,0.018059097457565895,9.367506770274758e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,2,1809037,0.5168576916015325,0.5168576916015325,0.0,0.0282431493212433,0.028243149321243336,3.469446951953614e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,3,1809038,0.5210319655769433,0.5210319655769433,0.0,0.0318182453884342,0.031818245388434266,6.245004513516506e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,4,1809039,0.5518158454555694,0.5518158454555694,0.0,0.0121731768672777,0.012173176867277717,1.734723475976807e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,5,1809040,0.5631266649885759,0.5631266649885759,0.0,0.0121560793857133,0.012156079385713359,5.898059818321144e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,6,1809041,0.5199853981126195,0.5199853981126195,0.0,0.0314273723814449,0.03142737238144493,3.469446951953614e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,7,1809042,0.5530130829867761,0.5530130829867761,0.0,0.0164911609109845,0.01649116091098451,1.0408340855860843e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,8,1809043,0.526385646084294,0.526385646084294,0.0,0.0309510109420345,0.03095101094203451,1.0408340855860843e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,9,1809044,0.5240852251849947,0.5240852251849947,0.0,0.02894185381805,0.028941853818050076,7.632783294297951e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,10,1809045,0.509488492954365,0.509488492954365,0.0,0.0334447343735714,0.03344473437357143,2.7755575615628914e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,11,1809046,0.52285135767575,0.52285135767575,0.0,0.0321934985885609,0.0321934985885609,0.0,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,12,1809047,0.5458432091650971,0.5458432091650971,0.0,0.020031876172813,0.020031876172813066,6.591949208711867e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,13,1809048,0.5176316878445125,0.5176316878445125,0.0,0.0268937505514162,0.02689375055141624,4.163336342344337e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
