algorithm,run_id,seed,generation,mean_direction_shift
IA-NSGA-III,1,1809036,10,0.023698325028538105
IA-NSGA-III,1,1809036,20,0.01930987262316525
IA-NSGA-III,1,1809036,30,0.019455045937251125
IA-NSGA-III,2,1809037,10,0.022066293806257676
IA-NSGA-III,2,1809037,20,0.019400101925980674
IA-NSGA-III,2,1809037,30,0.018942779464649725
IA-NSGA-III,3,1809038,10,0.02213302097983642
IA-NSGA-III,3,1809038,20,0.018939681196743635
IA-NSGA-III,3,1809038,30,0.015356681232971646
IA-NSGA-III,4,1809039,10,0.021967225057132143
IA-NSGA-III,4,1809039,20,0.02362505061404291
IA-NSGA-III,4,1809039,30,0.019309658050565177
IA-NSGA-III,5,1809040,10,0.019430625361832474
IA-NSGA-III,5,1809040,20,0.01597544020931402
IA-NSGA-III,5,1809040,30,0.016796718964318655
IA-NSGA-III,6,1809041,10,0.022159047217373263
IA-NSGA-III,6,1809041,20,0.01905479579616022
IA-NSGA-III,6,1809041,30,0.016090533615880344
IA-NSGA-III,7,1809042,10,0.018086396968145627
IA-NSGA-III,7,1809042,20,0.01837039818101255
IA-NSGA-III,7,1809042,30,0.016754226552777272
IA-NSGA-III,8,1809043,10,0.023316226278478413
IA-NSGA-III,8,1809043,20,0.022169609718673267
IA-NSGA-III,8,1809043,30,0.02082206465255211
IA-NSGA-III,9,1809044,10,0.01827735526503713
IA-NSGA-III,9,1809044,20,0.021082032150590707
IA-NSGA-III,9,1809044,30,0.020341974992412554
IA-NSGA-III,10,1809045,10,0.02015954317991736
IA-NSGA-III,10,1809045,20,0.018393471609599334
IA-NSGA-III,10,1809045,30,0.016973873106408112
IA-NSGA-III,11,1809046,10,0.019981119948143732
IA-NSGA-III,11,1809046,20,0.019778141512025976
IA-NSGA-III,11,1809046,30,0.021982304962186717
IA-NSGA-III,12,1809047,10,0.02037295680123803
IA-NSGA-III,12,1809047,20,0.020018326477035633
IA-NSGA-III,12,1809047,30,0.01984357578895635
IA-NSGA-III,13,1809048,10,0.01920992351516804
IA-NSGA-III,13,1809048,20,0.02042872662403225
IA-NSGA-III,13,1809048,30,0.01747812960926225
IA-NSGA-III,14,1809049,10,0.021185303674744457
IA-NSGA-III,14,1809049,20,0.021564594347513344
IA-NSGA-III,14,1809049,30,0.017008630359213097
IA-NSGA-III,15,1809050,10,0.021781225167621588
IA-NSGA-III,15,1809050,20,0.01838313956252079
IA-NSGA-III,15,1809050,30,0.019232190771039694
IA-NSGA-III,16,1809051,10,0.02072888648247458
IA-NSGA-III,16,1809051,20,0.01950175172988492
IA-NSGA-III,16,1809051,30,0.019400142493123367
IA-NSGA-III,17,1809052,10,0.01598273767267785
IA-NSGA-III,17,1809052,20,0.024216254390166735
IA-NSGA-III,17,1809052,30,0.02042532519229457
IA-NSGA-III,18,1809053,10,0.02319002052028996
IA-NSGA-III,18,1809053,20,0.017865156816095424
IA-NSGA-III,18,1809053,30,0.019895679458398412
IA-NSGA-III,19,1809054,10,0.019590116438038273
IA-NSGA-III,19,1809054,20,0.01940783266216091
IA-NSGA-III,19,1809054,30,0.017621927219243386
IA-NSGA-III,20,1809055,10,0.020040645281231607
IA-NSGA-III,20,1809055,20,0.02016383437979768
IA-NSGA-III,20,1809055,30,0.02100837122429772
IA-NSGA-III,21,1809056,10,0.021427951314150002
IA-NSGA-III,21,1809056,20,0.019190333818423222
IA-NSGA-III,21,1809056,30,0.016154572989140994
IA-NSGA-III,22,1809057,10,0.0207175346073919
IA-NSGA-III,22,1809057,20,0.021750460148100764
IA-NSGA-III,22,1809057,30,0.02200043043257953
IA-NSGA-III,23,1809058,10,0.021729005644287366
IA-NSGA-III,23,1809058,20,0.019375002759967345
IA-NSGA-III,23,1809058,30,0.017976937088539303
IA-NSGA-III,24,1809059,10,0.02084621594418708
IA-NSGA-III,24,1809059,20,0.016451045311400514
IA-NSGA-III,24,1809059,30,0.019935029655854558
IA-NSGA-III,25,1809060,10,0.02077706268944479
IA-NSGA-III,25,1809060,20,0.021266343016511702
IA-NSGA-III,25,1809060,30,0.019343138174372627
IA-NSGA-III,26,1809061,10,0.018091460830260236
IA-NSGA-III,26,1809061,20,0.021810458788499937
IA-NSGA-III,26,1809061,30,0.01727356215814765
IA-NSGA-III,27,1809062,10,0.021765128673205
IA-NSGA-III,27,1809062,20,0.02139022344948623
IA-NSGA-III,27,1809062,30,0.015189456008946826
IA-NSGA-III,28,1809063,10,0.02157552536946448
IA-NSGA-III,28,1809063,20,0.02073152628323375
IA-NSGA-III,28,1809063,30,0.019312665718972104
IA-NSGA-III,29,1809064,10,0.021520416422951622
IA-NSGA-III,29,1809064,20,0.022270504291572873
IA-NSGA-III,29,1809064,30,0.019211180694436298
IA-NSGA-III,30,1809065,10,0.01958859266226348
IA-NSGA-III,30,1809065,20,0.02019118026319748
IA-NSGA-III,30,1809065,30,0.021173002059357553
