algorithm,F1,F2,F3
IA-NSGA-III,0.5601621200890676,0.794693106376239,0.6122470499927897
IA-NSGA-III,0.5148209093333407,0.614646948156921,0.7618990028726137
IA-NSGA-III,0.6585956846463558,0.597263449816065,0.7248877279568177
IA-NSGA-III,0.6766421070986022,0.6560271587548526,0.8751774310145432
IA-NSGA-III,0.8614520486315934,0.5287888051667445,0.791756720347887
IA-NSGA-III,0.5637632375556908,0.5866712184074352,0.7274052367013393
IA-NSGA-III,0.2301608618932829,0.7528727428700379,0.4775783569536881
IA-NSGA-III,0.4900928765821642,0.7597407716340462,0.6612529727533251
IA-NSGA-III,0.8225204908613724,0.47186217816948695,0.5798227695450506
IA-NSGA-III,0.42784848221852173,0.6390637716564105,0.735643195638944
IA-NSGA-III,0.18855723279122394,0.7601143815051844,0.5648946081078037
IA-NSGA-III,0.8678083765743427,0.4171412158125293,0.9126603515622669
IA-NSGA-III,0.40699153176158154,0.8246385082746729,0.3615333308351558
IA-NSGA-III,0.5374756801843346,0.630739451286814,0.6958803828926606
IA-NSGA-III,0.6793035901169351,0.5796066704052457,0.6838796281748826
IA-NSGA-III,0.2970909338561571,0.7309066054408193,0.40180558396340876
IA-NSGA-III,0.36560614677137415,0.912879307059791,0.34300725848532354
IA-NSGA-III,0.9226028566031584,0.5011107162525841,0.7905389542929423
IA-NSGA-III,0.8426027961062482,0.5219413455764366,0.8564022651026072
IA-NSGA-III,0.916520719144449,0.397077340736109,0.6700282858969301
IA-NSGA-III,0.557488509646016,0.6345044368172927,0.6896067803571024
IA-NSGA-III,0.9281116788499761,0.4013147431805358,0.8217577672937915
IA-NSGA-III,0.541291745586704,0.7200796772101082,0.7030646876522331
IA-NSGA-III,0.29707174330408825,0.7914275485363684,0.4511621523974332
IA-NSGA-III,0.5307782658537828,0.7499369188132394,0.702953893269747
IA-NSGA-III,0.7382422044224279,0.6067001363499973,0.7707445642800881
IA-NSGA-III,0.7159709233643226,0.645053003564589,0.7232446683769014
IA-NSGA-III,0.46555798146492605,0.6169891743900551,0.5704007286302519
IA-NSGA-III,0.11091546373834937,0.985340445751363,0.3704748537968913
IA-NSGA-III,0.3976627925446345,0.7054301657507983,0.6032657214590247
IA-NSGA-III,0.5685357892648504,0.7274527170948334,0.6122260618102093
IA-NSGA-III,0.6020908653178413,0.6414925364488464,0.6059003192224058
IA-NSGA-III,0.691884999579411,0.6612845676928448,0.7350037068399422
IA-NSGA-III,0.5972292480921121,0.5577131947385257,0.6652277630346916
IA-NSGA-III,0.3391284502689236,0.6856177104875187,0.6653123373081757
IA-NSGA-III,0.502596076070438,0.6604889880889921,0.48750078974070554
IA-NSGA-III,0.7629795854407843,0.45485608379287756,0.8719119016888902
IA-NSGA-III,0.537995478434178,0.7118957838380701,0.6138610075598185
IA-NSGA-III,0.5603970457095926,0.692003467809791,0.7295010523954065
IA-NSGA-III,0.6430476125605157,0.5176707983257012,0.6900383370306207
IA-NSGA-III,0.2465877510459121,0.7743759208661452,0.6171543481954935
IA-NSGA-III,0.8425019220245131,0.6063094744991953,0.7506661062500513
IA-NSGA-III,0.33658201043285524,0.7213134451807485,0.555155086758095
IA-NSGA-III,0.6254364255033181,0.603516814540972,0.69178430212872
IA-NSGA-III,0.279167825190484,0.7270142239322965,0.4456116963742699
IA-NSGA-III,0.44514142962347164,0.726632672159703,0.6433901006589757
IA-NSGA-III,0.7630819606666177,0.6787897129996276,0.7978337360274905
IA-NSGA-III,0.7412530255555051,0.6462195354121887,0.6434255739240036
IA-NSGA-III,0.7817632123939249,0.6651666622837078,0.8103037828762493
IA-NSGA-III,0.46256990211980575,0.7185599653416782,0.3861622754854315
IA-NSGA-III,0.571808476242985,0.6785275618980193,0.6622872519542788
IA-NSGA-III,0.6658902592817834,0.6022924096060173,0.7990017370737317
IA-NSGA-III,0.4227012975706004,0.730002408855539,0.5275824374708563
IA-NSGA-III,0.31649799531282663,0.8152530270259944,0.5770012266747534
IA-NSGA-III,0.5480564258800976,0.6764200868198811,0.5489230738516263
IA-NSGA-III,0.21940320612993328,0.8341795762683651,0.444052673370622
IA-NSGA-III,0.6010796437495542,0.6712703108685584,0.6336296448666109
IA-NSGA-III,0.23222705891310333,0.8678739474913084,0.45713492880108547
IA-NSGA-III,0.4349614216553887,0.7504388856228955,0.4469142441443178
IA-NSGA-III,0.522727049636566,0.6004791514639959,0.6969758084571409
IA-NSGA-III,0.6444526814100705,0.6627340849364706,0.680627068328193
IA-NSGA-III,0.7934964893029811,0.6380865360401792,0.7190019973546632
IA-NSGA-III,0.250832435689699,0.775437700764861,0.3713587837387169
IA-NSGA-III,0.5537086241478524,0.6175605789446212,0.6973650506511517
IA-NSGA-III,0.4828001637444748,0.795908152590945,0.5382827978162796
IA-NSGA-III,0.4758485117542476,0.692443319586822,0.6623610517637722
IA-NSGA-III,0.4960190236366903,0.6870860370699998,0.5405955511851107
IA-NSGA-III,0.598691260618272,0.576733683441663,0.7624417377511357
IA-NSGA-III,0.5591439745452859,0.6565376012318377,0.6800958514504877
IA-NSGA-III,0.609800138144903,0.6438511492740223,0.602709211765375
IA-NSGA-III,0.566699786919027,0.7107021625487616,0.7657738518664612
IA-NSGA-III,0.6988419482190297,0.4625144186720683,0.6913497662298919
IA-NSGA-III,0.46404627836235757,0.6663639703468309,0.4662282125786616
IA-NSGA-III,0.8345018686017682,0.5219117364132646,0.8050045546476267
IA-NSGA-III,0.8856128138167431,0.6126219516518695,0.7924781411941411
IA-NSGA-III,0.6291192420763163,0.4945387369170081,0.6653547430504754
IA-NSGA-III,0.8468420343405401,0.696609684823682,0.9280906694804899
IA-NSGA-III,0.7155120548001681,0.6099939439629333,0.6816653140087447
IA-NSGA-III,0.528951085605794,0.6298979169307444,0.7587131807565178
IA-NSGA-III,0.05555061818682913,0.8334900935333484,0.5164255567604187
IA-NSGA-III,0.17353096602528412,0.8386974848469171,0.2592778780478948
IA-NSGA-III,0.5620049076912528,0.6663329059329156,0.6906925581004726
IA-NSGA-III,0.2965497996163735,0.7438451730350153,0.5769199716109766
IA-NSGA-III,0.6294195393328138,0.6346474696315323,0.7897587106607796
IA-NSGA-III,0.32134377537690845,0.8054261632318638,0.5731106300816697
IA-NSGA-III,0.38334348662022466,0.8107040392596042,0.5677518006759503
IA-NSGA-III,0.22065418664848188,0.8087731917449126,0.6170716589437442
IA-NSGA-III,0.5790762135147031,0.7513832270588648,0.6520404529395524
IA-NSGA-III,0.20878206221867948,0.919608476872248,0.45295515443457135
IA-NSGA-III,0.599375719364001,0.661442465088365,0.5739952873380292
