record_type,tac,social,economic,ecological,hv,sd
pareto,0.9,0.5620574540010704,0.5980353240032771,0.9230101071447536,,
pareto,0.9,0.5846847516486666,0.47323239605264156,0.9520605989633797,,
pareto,0.9,0.705346038043116,0.5266158714548146,0.8992911650425652,,
pareto,0.9,0.4389923995210875,0.478684881171069,0.9955806884448466,,
pareto,0.9,0.4659123786394145,0.6092195339390349,0.949538303156206,,
pareto,0.9,0.5989342026798866,0.6310548106364058,0.9020569126057083,,
pareto,0.9,0.5047824112030536,0.7645713300927974,0.8926276948230403,,
pareto,0.9,0.4342651622299776,0.4514361224330553,1.0,,
pareto,0.9,0.5666600871311325,0.5512649261845404,0.9350969308632425,,
pareto,0.9,0.6604933712459997,0.5551865904343264,0.9049203700761629,,
pareto,0.9,0.6127640569126751,0.5020148688073025,0.9350544488557131,,
pareto,0.9,0.6150047483871646,0.48140004124968916,0.9403162961223166,,
pareto,0.9,0.5672101493137356,0.532663091355044,0.9403005369161961,,
pareto,0.9,0.6393740978426788,0.48319703082799803,0.9322542719206063,,
pareto,0.9,0.40632937102667177,0.6477940786897988,0.9568369052829454,,
pareto,0.9,0.5998204037549306,0.3982404959262551,0.9690400809670001,,
pareto,0.9,0.5347732583421883,0.5270958049174046,0.9519488541719137,,
pareto,0.9,0.5583543379319252,0.40557836126789537,0.979754987861139,,
pareto,0.9,0.46571687627217395,0.573303119403285,0.9599746688817907,,
pareto,0.9,0.5130289640076819,0.726840508169094,0.9009752056059157,,
pareto,0.9,0.6737709083560789,0.7179227676755718,0.8537979827835087,,
pareto,0.9,0.5225863200735538,0.3878814438526792,0.995938483816618,,
pareto,0.9,0.4772144576205014,0.6477918450166723,0.9348969285253458,,
pareto,0.9,0.7108552661754322,0.6728588776577694,0.8553379481937725,,
pareto,0.9,0.6542550223418703,0.6941311170183287,0.8667117576920625,,
pareto,0.9,0.564895590912788,0.6126114140026487,0.9179207657516257,,
pareto,0.9,0.4539234021357501,0.5610238536133643,0.9671723733744387,,
pareto,0.9,0.6331911445337932,0.5409981014486969,0.9174699561146785,,
pareto,0.9,0.6275201671607308,0.6170588453913428,0.8972521548292588,,
pareto,0.9,0.6036639878180841,0.3738486602640383,0.974896930487966,,
pareto,0.9,0.7444582439612846,0.7470996037018519,0.823489705640972,,
pareto,0.9,0.5297710709406155,0.6623697946646382,0.9144179976787552,,
pareto,0.9,0.657702430510962,0.4109448322321768,0.9474540739430257,,
pareto,0.9,0.6434473279830007,0.672754828014969,0.8762323688009372,,
