year,indicator,value,unit,source_organization,source_url,retrieved_on,extraction_status,extraction_method
2019,motorized_fleet_power,19905300.0,kW,Ministry of Agriculture and Rural Affairs of the PRC,https://cnafun.moa.gov.cn/kx/gn/202006/t20200619_6346974.html,2026-07-23,parsed,deterministic regex over official HTML text
2019,processing_enterprises,9323.0,count,Ministry of Agriculture and Rural Affairs of the PRC,https://cnafun.moa.gov.cn/kx/gn/202006/t20200619_6346974.html,2026-07-23,parsed,deterministic regex over official HTML text
2019,total_aquatic_products,64803600.0,tonnes,Ministry of Agriculture and Rural Affairs of the PRC,https://cnafun.moa.gov.cn/kx/gn/202006/t20200619_6346974.html,2026-07-23,parsed,deterministic regex over official HTML text
2019,total_economic_output,26406.5,100 million RMB,Ministry of Agriculture and Rural Affairs of the PRC,https://cnafun.moa.gov.cn/kx/gn/202006/t20200619_6346974.html,2026-07-23,parsed,deterministic regex over official HTML text
2020,aquaculture_production,52242000.0,tonnes,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202107/t20210728_6372958.htm,2026-07-23,parsed,deterministic regex over official HTML text
2020,aquatic_exports_value,19041.0,million USD,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202107/t20210728_6372958.htm,2026-07-23,parsed,deterministic regex over official HTML text
2020,capture_production,13248200.0,tonnes,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202107/t20210728_6372958.htm,2026-07-23,parsed,deterministic regex over official HTML text
2020,cold_storage_units,8188.0,count,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202107/t20210728_6372958.htm,2026-07-23,parsed,deterministic regex over official HTML text
2020,distant_water_capture,2316600.0,tonnes,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202107/t20210728_6372958.htm,2026-07-23,parsed,deterministic regex over official HTML text
2020,fisher_per_capita_net_income,21837.16,RMB/year,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202107/t20210728_6372958.htm,2026-07-23,parsed,deterministic regex over official HTML text
2020,motorized_fleet_power,18563900.0,kW,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202107/t20210728_6372958.htm,2026-07-23,parsed,deterministic regex over official HTML text
2020,processing_enterprises,9136.0,count,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202107/t20210728_6372958.htm,2026-07-23,parsed,deterministic regex over official HTML text
2020,total_aquatic_products,65490200.00000001,tonnes,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202107/t20210728_6372958.htm,2026-07-23,parsed,deterministic regex over official HTML text
2020,total_economic_output,27543.47,100 million RMB,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202107/t20210728_6372958.htm,2026-07-23,parsed,deterministic regex over official HTML text
2021,aquaculture_production,53944100.0,tonnes,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202207/t20220721_6405222.htm,2026-07-23,parsed,deterministic regex over official HTML text
2021,aquatic_exports_value,21926.0,million USD,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202207/t20220721_6405222.htm,2026-07-23,parsed,deterministic regex over official HTML text
2021,capture_production,12958900.000000002,tonnes,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202207/t20220721_6405222.htm,2026-07-23,parsed,deterministic regex over official HTML text
2021,cold_storage_units,8454.0,count,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202207/t20220721_6405222.htm,2026-07-23,parsed,deterministic regex over official HTML text
2021,distant_water_capture,2246500.0,tonnes,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202207/t20220721_6405222.htm,2026-07-23,parsed,deterministic regex over official HTML text
2021,fisher_per_capita_net_income,23442.13,RMB/year,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202207/t20220721_6405222.htm,2026-07-23,parsed,deterministic regex over official HTML text
2021,motorized_fleet_power,18452000.0,kW,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202207/t20220721_6405222.htm,2026-07-23,parsed,deterministic regex over official HTML text
2021,processing_enterprises,9202.0,count,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202207/t20220721_6405222.htm,2026-07-23,parsed,deterministic regex over official HTML text
2021,total_aquatic_products,66902900.0,tonnes,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202207/t20220721_6405222.htm,2026-07-23,parsed,deterministic regex over official HTML text
2021,total_economic_output,29689.73,100 million RMB,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202207/t20220721_6405222.htm,2026-07-23,parsed,deterministic regex over official HTML text
2022,aquaculture_production,55654600.0,tonnes,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/yqxx/202306/t20230628_6431131.htm,2026-07-23,parsed,deterministic regex over official HTML text
2022,aquatic_exports_value,,million USD,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/yqxx/202306/t20230628_6431131.htm,2026-07-23,not_found,deterministic regex over official HTML text
2022,capture_production,13004500.0,tonnes,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/yqxx/202306/t20230628_6431131.htm,2026-07-23,parsed,deterministic regex over official HTML text
2022,cold_storage_units,8675.0,count,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/yqxx/202306/t20230628_6431131.htm,2026-07-23,parsed,deterministic regex over official HTML text
2022,distant_water_capture,2329800.0,tonnes,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/yqxx/202306/t20230628_6431131.htm,2026-07-23,parsed,deterministic regex over official HTML text
2022,fisher_per_capita_net_income,24614.41,RMB/year,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/yqxx/202306/t20230628_6431131.htm,2026-07-23,parsed,deterministic regex over official HTML text
2022,motorized_fleet_power,18370200.0,kW,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/yqxx/202306/t20230628_6431131.htm,2026-07-23,parsed,deterministic regex over official HTML text
2022,processing_enterprises,9331.0,count,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/yqxx/202306/t20230628_6431131.htm,2026-07-23,parsed,deterministic regex over official HTML text
2022,total_aquatic_products,68659100.0,tonnes,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/yqxx/202306/t20230628_6431131.htm,2026-07-23,parsed,deterministic regex over official HTML text
2022,total_economic_output,30873.14,100 million RMB,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/yqxx/202306/t20230628_6431131.htm,2026-07-23,parsed,deterministic regex over official HTML text
2023,aquaculture_production,58096100.0,tonnes,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202407/t20240705_6458486.htm,2026-07-23,parsed,deterministic regex over official HTML text
2023,aquatic_exports_value,20463.0,million USD,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202407/t20240705_6458486.htm,2026-07-23,parsed,deterministic regex over official HTML text
2023,capture_production,13065600.0,tonnes,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202407/t20240705_6458486.htm,2026-07-23,parsed,deterministic regex over official HTML text
2023,cold_storage_units,9143.0,count,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202407/t20240705_6458486.htm,2026-07-23,parsed,deterministic regex over official HTML text
2023,distant_water_capture,2322300.0,tonnes,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202407/t20240705_6458486.htm,2026-07-23,parsed,deterministic regex over official HTML text
2023,fisher_per_capita_net_income,25777.21,RMB/year,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202407/t20240705_6458486.htm,2026-07-23,parsed,deterministic regex over official HTML text
2023,motorized_fleet_power,18940200.0,kW,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202407/t20240705_6458486.htm,2026-07-23,parsed,deterministic regex over official HTML text
2023,processing_enterprises,9433.0,count,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202407/t20240705_6458486.htm,2026-07-23,parsed,deterministic regex over official HTML text
2023,total_aquatic_products,71161700.0,tonnes,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202407/t20240705_6458486.htm,2026-07-23,parsed,deterministic regex over official HTML text
2023,total_economic_output,32669.96,100 million RMB,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202407/t20240705_6458486.htm,2026-07-23,parsed,deterministic regex over official HTML text
2024,aquaculture_production,60600300.0,tonnes,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202507/t20250707_6475475.htm,2026-07-23,parsed,deterministic regex over official HTML text
2024,aquatic_exports_value,20740.0,million USD,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202507/t20250707_6475475.htm,2026-07-23,parsed,deterministic regex over official HTML text
2024,capture_production,12975600.0,tonnes,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202507/t20250707_6475475.htm,2026-07-23,parsed,deterministic regex over official HTML text
2024,cold_storage_units,9737.0,count,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202507/t20250707_6475475.htm,2026-07-23,parsed,deterministic regex over official HTML text
2024,distant_water_capture,2189100.0,tonnes,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202507/t20250707_6475475.htm,2026-07-23,parsed,deterministic regex over official HTML text
2024,fisher_per_capita_net_income,27131.0,RMB/year,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202507/t20250707_6475475.htm,2026-07-23,parsed,deterministic regex over official HTML text
2024,motorized_fleet_power,20044500.0,kW,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202507/t20250707_6475475.htm,2026-07-23,parsed,deterministic regex over official HTML text
2024,processing_enterprises,9581.0,count,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202507/t20250707_6475475.htm,2026-07-23,parsed,deterministic regex over official HTML text
2024,total_aquatic_products,73575900.0,tonnes,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202507/t20250707_6475475.htm,2026-07-23,parsed,deterministic regex over official HTML text
2024,total_economic_output,34172.29,100 million RMB,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202507/t20250707_6475475.htm,2026-07-23,parsed,deterministic regex over official HTML text
