algorithm,run_id,seed,solution_id,feasible,total_constraint_violation,total_supply_tonnes,capture_tonnes,aquaculture_tonnes,processed_tonnes,data_status,social_reliability,economic_efficiency,ecological_security,g_national_capture_tac,g_capture_share,g_national_processing_capacity,g_national_total_supply,g_regional_cold_storage,g_minimum_supply,g_fleet_power
IA-NSGA-III,1,1809036,1,True,0.0,64761373.0090912,6409944.140636921,58351428.86845426,17899370.149548274,经过处理的数据 / public-data surrogate; not author-run logs,0.7356991155047704,0.7949830056742639,0.7171226237756916,-0.5094030017269072,-0.18102210866132978,-0.3201867689663329,-0.17267347146589085,-1.1102230246251565e-16,-0.362678810497023,-0.41574965508827
IA-NSGA-III,1,1809036,2,True,0.0,61132562.6853481,5006521.523470224,56126041.16187787,17496189.546387684,经过处理的数据 / public-data surrogate; not author-run logs,0.7114344701664995,0.7451588615968764,0.7530342894950055,-0.6168165623109368,-0.19810385000152864,-0.33549945909088574,-0.219031522698524,0.0,-0.32484761856888,-0.49295934265621344
IA-NSGA-III,1,1809036,3,True,0.0,59072933.79644336,4185359.362282836,54887574.43416053,16344354.885506487,经过处理的数据 / public-data surrogate; not author-run logs,0.6809962831432358,0.7271150342477766,0.776356437763065,-0.6796657358037261,-0.20914928896700868,-0.3792458275881022,-0.24534328138354933,0.0,-0.3013078473091684,-0.5400130864041569
IA-NSGA-III,1,1809036,4,True,0.0,59635532.388727516,4390827.481057328,55244704.9076702,16216022.590369187,经过处理的数据 / public-data surrogate; not author-run logs,0.694259541990148,0.7230572268776958,0.7714998981896763,-0.6639398511314193,-0.20637229340997226,-0.38411985340433774,-0.23815608446838687,-0.009019094225605873,-0.3078992736920433,-0.5316179706511457
IA-NSGA-III,1,1809036,5,True,0.0,62535844.22158897,5201259.2298475895,57334584.99174138,17954568.102748286,经过处理的数据 / public-data surrogate; not author-run logs,0.723676465138623,0.7649030027221143,0.7479448346119734,-0.6019119497116405,-0.19682755234873794,-0.31809036565170046,-0.20110460132563712,0.0,-0.3399977917664182,-0.47667126643497826
IA-NSGA-III,1,1809036,6,True,0.0,59960490.363567695,4538598.375543344,55421891.98802433,17242810.53175922,经过处理的数据 / public-data surrogate; not author-run logs,0.6983945592583727,0.7380481496640184,0.7666045371849252,-0.6526299308456294,-0.20430685026050055,-0.34512272545006817,-0.23400474639829594,0.0,-0.3116501377867622,-0.5223688541057547
IA-NSGA-III,1,1809036,7,True,0.0,61582797.78188558,5136940.474581405,56445857.30730419,17566480.45752629,经过处理的数据 / public-data surrogate; not author-run logs,0.7176190039505261,0.7501173517386247,0.7508917568254254,-0.6068347052885895,-0.19658481492225383,-0.33282982932100014,-0.2132797694212999,-1.1102230246251565e-16,-0.32978369339139424,-0.4874798360305733
IA-NSGA-III,1,1809036,8,True,0.0,60615678.5247016,4715801.514683956,55899877.01001763,17723065.38177112,经过处理的数据 / public-data surrogate; not author-run logs,0.7029780125779455,0.7479920854412314,0.7627949015134204,-0.6390673589667557,-0.20220162127258529,-0.3268827763022252,-0.2256347177577439,0.0,-0.3190904352711248,-0.5126126291003451
IA-NSGA-III,1,1809036,9,True,0.0,60837809.637828365,4568183.689963536,56269625.94786483,17068969.247069597,经过处理的数据 / public-data surrogate; not author-run logs,0.6966323719810926,0.7532747114664986,0.7657215503366729,-0.6503655637733027,-0.20491209467996557,-0.3517251703654206,-0.22279699282753307,-0.036297864982483,-0.3215765734219277,-0.5125976078309273
IA-NSGA-III,1,1809036,10,True,0.0,60100072.65017076,4192804.230905149,55907268.41926561,16947284.581637353,经过处理的数据 / public-data surrogate; not author-run logs,0.6932640407728816,0.7416831021586464,0.7756270907997664,-0.6790959289351313,-0.21023628681265438,-0.3563467210056722,-0.2322215827120665,-1.1102230246251565e-16,-0.3132488288284503,-0.5325144676044273
